delta,N,majorant
0.25,44.224107177626195,12.082087700266925
0.25,45.494560299569116,12.040462424341849
0.25,46.801510509595055,11.998823060612807
0.25,48.14600628199678,11.957171880086644
0.25,49.52912621123284,11.91551112242458
0.25,50.951979877208046,11.873842996271483
0.25,52.41570873541146,11.832169679582066
0.25,53.92148703262588,11.790493319944007
0.25,55.470522748943566,11.748816034898036
0.25,57.06405856684369,11.707139912255041
0.25,58.70337286810918,11.66546701041017
0.25,60.38978075938256,11.62379935865399
0.25,62.12463512718363,11.582138957480733
0.25,63.90932772323508,11.540487778893603
0.25,65.74529028096728,11.498847766707254
0.25,67.63399566409723,11.457220836847384
0.25,69.57695904820366,11.415608877647534
0.25,71.5757391362459,11.374013750143051
0.25,73.63193940900169,11.33243728836231
0.25,75.74720941142708,11.290881299615165
0.25,77.92324607597048,11.249347564778681
0.25,80.16179508390225,11.207837838580167
0.25,82.46465226575206,11.16635384987753
0.25,84.83366504197755,11.124897301936954
0.25,87.27073390501991,11.083469872708003
0.25,89.77781394393531,11.042073215096034
0.25,92.35691641282563,11.000708957232115
0.25,95.01011034432591,10.959378702740308
0.25,97.7395242094442,10.91808403100245
0.25,100.54734762508403,10.87682649742042
0.25,103.43583311062022,10.835607633675892
0.25,106.40729789493666,10.79442894798764
0.25,109.46412577537669,10.753291925366364
0.25,112.60876903009535,10.712198027867116
0.25,115.84375038535073,10.6711486948393
0.25,119.17166503930898,10.630145343174302
0.25,122.59518274399034,10.589189367550738
0.25,126.11704994702254,10.54828214067739
0.25,129.74009199492374,10.50742501353376
0.25,133.4672153996784,10.466619315608419
0.25,137.30141017042865,10.425866355134955
0.25,141.24575221214747,10.385167419325779
0.25,145.3034057932215,10.344523774603596
0.25,149.47762608392154,10.303936666830719
0.25,153.77176176779594,10.263407321536143
0.25,158.1892577280852,10.22293694414046
0.25,162.7336578113084,10.182526720178613
0.25,167.40860767024344,10.14217781552048
0.25,172.21785768857677,10.101891376589373
0.25,177.16526598957398,10.061668530578414
0.25,182.25480153117945,10.021510385664813
0.25,187.49054729003385,9.98141803122211
0.25,192.87670353695782,9.94139253803035
0.25,198.41759120653552,9.901434958484215
0.25,204.11765536349526,9.861546326799179
0.25,209.981468768674,9.821727659215638
0.25,216.01373554742068,9.781979954201084
0.25,222.21929496338578,9.742304192650305
0.25,228.60312530072326,9.702701338083662
0.25,235.1703478578163,9.663172336843433
0.25,241.92623105573705,9.623718118288243
0.25,248.8761946647285,9.584339594985629
0.25,256.0258141521073,9.545037662902702
0.25,263.38082515506716,9.505813201594995
0.25,270.9471280819796,9.466667074393419
0.25,278.7307928458748,9.427600128589454
0.25,286.7380637339082,9.388613195618492
0.25,294.975364416711,9.349707091241418
0.25,303.4493031016521,9.3108826157244
0.25,312.1666778341362,9.27214055401693
0.25,321.1344819511985,9.23348167592813
0.25,330.35990969176885,9.194906736301316
0.25,339.8503619681015,9.156416475186871
0.25,349.6134523030094,9.118011618013412
0.25,359.6570129376559,9.079692875757285
0.25,369.9891011148139,9.041460945110382
0.25,380.61800554262305,9.003316508646332
0.25,391.5522530440389,8.965260234985038
0.25,402.80061539730445,8.927292778955602
0.25,414.372116372929,8.889414781757655
0.25,426.27603897282785,8.851626871121072
0.25,438.5219328774191,8.81392966146415
0.25,451.1196221066644,8.776323754050177
0.25,464.0792129011862,8.7388097371425
